2026-03-19 20:02:44,909 | CRITICAL | app.core.config | Configuration error: 1 validation error for Settings
rate_limit
  Field required [type=missing, input_value={'env': 'dev', 'app': {'d...e', 'duration': 'true'}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
2026-03-19 20:43:24,603 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:44:30,819 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:44:41,779 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:45:28,507 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:45:49,081 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:46:01,038 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:46:05,537 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:46:08,459 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:46:16,964 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:46:19,446 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:46:49,068 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:47:01,595 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:47:06,083 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:47:09,597 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:49:59,999 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:50:21,585 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:51:04,286 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:51:10,809 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:51:28,353 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:51:30,815 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:54:57,082 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:54:57,470 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:56:23,399 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:57:13,146 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:57:33,724 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:57:51,285 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:11,292 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:16,223 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:17,718 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:21,205 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:26,693 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:33,188 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:49,758 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:53,249 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:55,724 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:58:58,219 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:59:21,794 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:59:28,306 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:59:31,795 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:59:35,265 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:59:46,213 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:59:48,691 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:15,314 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:18,818 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:23,308 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:40,295 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:41,786 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:43,259 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:49,754 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:53,265 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:54,735 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:00:56,229 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:01:00,746 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:03:32,069 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:04:05,732 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:04:07,204 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:04:11,713 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:04:17,244 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:04:27,781 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:04:38,342 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:05:00,973 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:05:42,649 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:05:48,163 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:06:22,841 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:06:26,338 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:06:48,928 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:06:50,409 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:11,324 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:12,838 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:14,325 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:16,803 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:19,324 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:21,804 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:11:26,308 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:09,065 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:28,027 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:32,517 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:33,999 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:35,491 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:41,002 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:42,516 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:12:52,038 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:14:07,930 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:14:18,481 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:14:51,845 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:14:52,234 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:15:19,844 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:15:58,529 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:16:45,245 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:23:54,308 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:24:06,870 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:30:35,457 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:31:15,177 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:31:39,791 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:31:41,274 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:32:23,980 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:33:21,677 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:33:33,223 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:33:35,868 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:33:45,759 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:33:52,262 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:35:12,904 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:35:34,501 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:36:00,124 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:36:07,664 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:36:09,152 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:36:20,680 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:36:29,394 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:37:34,218 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:37:38,705 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:38:59,661 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:41:38,673 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:41:39,099 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:44:12,389 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:45:01,224 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:45:01,610 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:56:42,070 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:56:43,543 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:56:54,253 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:57:07,785 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 21:57:11,292 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 22:22:37,178 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 22:23:12,836 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 12:24:58,012 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 12:24:58,013 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 13:09:59,784 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 13:10:01,639 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 13:11:54,852 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 13:11:56,650 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 09:53:14,920 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 09:53:16,761 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 09:57:31,683 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 09:57:36,257 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 09:57:48,800 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:01:38,468 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:01:38,516 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:01:38,517 | INFO | werkzeug |  * Debugger PIN: 799-959-648
2026-03-20 10:02:52,508 | INFO | werkzeug |  * Detected change in '/app/app/core/factory.py', reloading
2026-03-20 10:02:54,326 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:02:54,370 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:02:54,371 | INFO | werkzeug |  * Debugger PIN: 726-110-571
2026-03-20 10:03:09,918 | INFO | werkzeug |  * Detected change in '/app/app/core/factory.py', reloading
2026-03-20 10:03:11,564 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:03:11,605 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:03:11,605 | INFO | werkzeug |  * Debugger PIN: 611-896-515
2026-03-20 10:04:20,927 | INFO | werkzeug |  * Detected change in '/app/app/logging/logging_config.py', reloading
2026-03-20 10:04:22,772 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:04:22,826 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:04:22,827 | INFO | werkzeug |  * Debugger PIN: 130-128-501
2026-03-20 10:04:23,080 | INFO | werkzeug |  * Detected change in '/app/app/logging/logging_config.py', reloading
2026-03-20 10:04:24,731 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:04:24,780 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:04:24,781 | INFO | werkzeug |  * Debugger PIN: 109-133-995
2026-03-20 10:04:27,376 | INFO | werkzeug |  * Detected change in '/app/app/logging/logging_config.py', reloading
2026-03-20 10:04:29,012 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:04:29,068 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:04:29,069 | INFO | werkzeug |  * Debugger PIN: 116-300-625
2026-03-20 10:04:36,497 | INFO | werkzeug |  * Detected change in '/app/app/logging/logging_config.py', reloading
2026-03-20 10:04:38,292 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:04:38,346 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:04:38,347 | INFO | werkzeug |  * Debugger PIN: 425-560-313
2026-03-20 10:04:40,977 | INFO | werkzeug |  * Detected change in '/app/app/logging/logging_config.py', reloading
2026-03-20 10:04:42,712 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:04:42,765 | WARNING | werkzeug |  * Debugger is active!
2026-03-20 10:04:42,767 | INFO | werkzeug |  * Debugger PIN: 126-561-519
2026-03-20 10:05:12,511 | INFO | werkzeug |  * Detected change in '/app/app/logging/__init__.py', reloading
2026-03-20 10:05:47,762 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:06:21,840 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:11:46,016 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:12:31,421 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:13:00,788 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:15:01,147 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:15:18,631 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:24:42,887 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:24:44,132 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:24:47,468 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:24:51,848 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:24:56,453 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:25:00,957 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:25:10,396 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:25:29,127 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:25:54,431 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:00,864 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:05,297 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:10,513 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:19,803 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:27,750 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:38,344 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:42,871 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:46,199 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:50,766 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:26:57,546 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:27:09,032 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:27:13,496 | INFO | app.core.config | Settings loaded for env=dev
2026-03-20 10:27:21,517 | INFO | app.core.config | Settings loaded for env=dev
